# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	23402
#@/user_id	sky_mac
a 	啊	c=0 d=4.75447e-49 t=23402
a 	阿	c=8 d=1.32797 t=23402
a fu jia de luo 	阿伏伽德羅	c=1 d=2.65018e-25 t=23402
a ha ha 	啊哈哈	c=1 d=4.7783e-48 t=23402
a jiu 	阿舅	c=3 d=0.0396791 t=23402
a la lei 	阿拉蕾	c=1 d=1 t=18948
a li 	阿里	c=8 d=0.299722 t=23402
a li ba ba 	阿里巴巴	c=1 d=0.254107 t=23300
a li wang wang 	阿里旺旺	c=1 d=1 t=23055
a li yun 	阿里雲	c=4 d=8.50643e-08 t=23402
a pa qi 	阿帕奇	c=1 d=2.54142e-32 t=23402
a ti la 	阿提拉	c=1 d=2.59673e-50 t=23402
ai 	唉	c=1 d=1.02832e-05 t=23402
ai 	愛	c=3 d=8.88281e-13 t=23402
ai 	艾	c=1 d=1.41295e-08 t=23402
ai er 	埃爾	c=1 d=0.085435 t=23402
ai guo 	愛國	c=1 d=0.000833397 t=23300
ai hao 	愛好	c=1 d=0.125556 t=23402
ai ni 	愛你	c=1 d=1 t=19562
ai qi yi 	愛奇異	c=1 d=4.7611e-35 t=23402
ai qing 	愛情	c=3 d=1.02319e-05 t=23402
ai shang 	愛上	c=1 d=6.67886e-17 t=23402
ai wan 	愛玩	c=1 d=1 t=18958
ai yin si tan 	愛因斯坦	c=2 d=1.12425e-46 t=23402
ai zhe teng 	愛折騰	c=1 d=7.97268e-12 t=23402
an 	安	c=5 d=0.58577 t=23402
an 	按	c=6 d=0.211532 t=23402
an bu 	岸部	c=2 d=0.0473897 t=23402
an bu jiu ban 	按步就班	c=1 d=6.8256e-08 t=23300
an de 	安德	c=0 d=0.0159614 t=23402
an de ma 	安德瑪	c=1 d=0.160414 t=23402
an fang 	安防	c=5 d=5.81122e-07 t=23402
an jian 	按鍵	c=1 d=1 t=22955
an jian 	案件	c=2 d=1.45827e-34 t=23402
an jing 	安靜	c=2 d=0.00629761 t=23402
an li 	安利	c=2 d=4.14991e-25 t=23402
an li 	案例	c=6 d=0.895834 t=23402
an niu 	按鈕	c=4 d=8.44642e-07 t=23402
an pai 	安排	c=11 d=0.00187503 t=23402
an quan 	安全	c=8 d=0.426716 t=23402
an shi 	暗示	c=2 d=0.034562 t=23402
an teng bai fu 	安藤百福	c=2 d=4.23581e-05 t=23300
an wei 	安慰	c=1 d=1 t=20088
an xia 	按下	c=1 d=3.699e-36 t=23402
an xu 	按需	c=1 d=0.272532 t=23402
an xu shi yong 	按需使用	c=2 d=0.0215624 t=23402
an zhao 	按照	c=5 d=0.891366 t=23402
an zhuang 	安裝	c=13 d=2.09703 t=23402
an zhuo 	安卓	c=11 d=1.74283 t=23402
ang 	昂	c=1 d=0.100761 t=23402
ao 	凹	c=2 d=0.000430743 t=23402
ao da li ya 	澳大利亞	c=2 d=4.57534e-08 t=23402
ao er 	奧爾	c=0 d=0.1 t=19715
ao er de 	奧爾德	c=1 d=1 t=19716
ao jiao 	傲嬌	c=1 d=0.0572688 t=23300
ao men 	澳門	c=2 d=0.000401622 t=23402
ao ye 	熬夜	c=1 d=1 t=19426
ao yun 	奧運	c=1 d=3.03478e-31 t=23402
ao yun hui 	奧運會	c=2 d=3.00458e-31 t=23402
ao zhou 	澳洲	c=1 d=7.0685e-37 t=23402
ba 	八	c=3 d=1.72069e-32 t=23402
ba 	吧	c=31 d=1.41144 t=23402
ba 	扒	c=1 d=1.40974e-40 t=23402
ba 	把	c=36 d=2.76735 t=23402
ba 	拔	c=1 d=1.03344e-34 t=23402
ba ba 	爸爸	c=1 d=6.46562e-47 t=23402
ba ba la 	芭芭拉	c=4 d=1.50894e-15 t=23402
ba bu 	八部	c=1 d=0.199888 t=23300
ba li 	巴黎	c=2 d=0.86776 t=23402
ba li dao 	巴厘島	c=1 d=0.00843808 t=23300
ba li man ha dun 	巴黎曼哈頓	c=1 d=0.0143357 t=23402
ba mei 	把妹	c=1 d=5.32954e-09 t=23402
ba na ma 	巴拿馬	c=4 d=1.70124 t=23402
ba qi 	霸氣	c=1 d=0.516851 t=23402
ba qi dian 	把起點	c=1 d=0.514274 t=23402
ba shou 	把手	c=1 d=0.11475 t=23300
ba ta 	把它	c=4 d=0.505123 t=23402
ba wo 	把握	c=2 d=0.0845849 t=23402
ba ya 	拔牙	c=2 d=6.03541e-28 t=23402
ba yue 	八月	c=7 d=3.5696e-05 t=23402
bai 	白	c=3 d=0.00481991 t=23402
bai 	百	c=1 d=4.34096e-07 t=23402
bai ban 	白板	c=2 d=0.537944 t=23402
bai bian 	百變	c=1 d=1.80203e-46 t=23402
bai chi deng 	白熾燈	c=4 d=0.0059204 t=23402
bai du 	百度	c=7 d=0.666977 t=23402
bai du xue shu 	百度學術	c=1 d=0.0177743 t=23402
bai du yun 	百度雲	c=1 d=1.87525e-44 t=23402
bai fa 	白髮	c=1 d=7.12376e-11 t=23300
bai fang 	拜訪	c=1 d=5.25825e-27 t=23402
bai gong 	白宮	c=1 d=0.131336 t=23402
bai hang 	白行	c=0 d=3.04532e-14 t=23402
bai jiu 	白酒	c=1 d=1.95284e-21 t=23402
bai ju yi 	白居易	c=1 d=0.843665 t=23402
bai kai shui 	白開水	c=1 d=0.017953 t=23300
bai li 	百里	c=0 d=0.00845849 t=23402
bai lun 	拜倫	c=0 d=4.17075e-08 t=23402
bai nei zhang 	白內障	c=1 d=9.91198e-44 t=23402
bai nian 	拜年	c=1 d=8.17315e-10 t=23300
bai niao 	百鳥	c=2 d=1.0166e-43 t=23402
bai se 	白色	c=6 d=0.000331926 t=23402
bai shi 	百世	c=1 d=5.63166e-40 t=23402
bai shi 	百事	c=0 d=0.0142987 t=23402
bai shi hui tong 	百事匯通	c=1 d=0.143704 t=23402
bai tian 	白天	c=3 d=0.0120946 t=23402
bai xing 	百姓	c=3 d=1.90653e-09 t=23300
bai ye xing 	白夜行	c=7 d=2.80416e-31 t=23402
bai yi 	白蟻	c=4 d=6.98035e-50 t=23402
bai yun 	白雲	c=2 d=7.72252e-08 t=23402
bai zhan 	百戰	c=1 d=0.0584257 t=23300
bai zhi 	白紙	c=1 d=0.722527 t=23300
bai zi 	白子	c=1 d=0.00096344 t=23402
ban 	半	c=3 d=0.000423097 t=23402
ban 	斑	c=4 d=3.53996e-29 t=23402
ban 	板	c=3 d=0.119433 t=23402
ban 	版	c=8 d=0.803275 t=23402
ban 	班	c=2 d=0.40657 t=23402
ban 	般	c=2 d=9.30462e-06 t=23402
ban 	辦	c=14 d=0.0632918 t=23402
ban ben 	坂本	c=4 d=3.97625e-33 t=23402
ban ben 	板本	c=1 d=4.14403e-49 t=23402
ban ben 	版本	c=14 d=1.65041 t=23402
ban dao ti 	半導體	c=1 d=1 t=22567
ban dian 	半點	c=1 d=1.79652e-10 t=23300
ban fa 	辦法	c=3 d=2.20527e-10 t=23402
ban ge 	半個	c=1 d=0.00694315 t=23300
ban ge yue 	半個月	c=1 d=0.000518277 t=23402
ban gong shi 	辦公室	c=3 d=0.008271 t=23402
ban hao 	辦好	c=1 d=1.50155e-47 t=23402
ban ji 	班機	c=1 d=1.834e-47 t=23402
ban ji 	班級	c=1 d=0.0366992 t=23402
ban lang 	伴郎	c=1 d=2.70179e-46 t=23402
ban li 	辦理	c=4 d=0.00141576 t=23402
ban mian 	版面	c=1 d=7.85666e-16 t=23402
ban quan 	版權	c=2 d=3.26171e-43 t=23402
ban shi 	辦事	c=4 d=0.000352662 t=23402
ban shi chu 	辦事處	c=1 d=0.000293099 t=23402
ban shi da ting 	辦事大廳	c=2 d=9.27398e-26 t=23402
ban sui 	伴隨	c=1 d=0.0485578 t=23402
ban tian 	半天	c=2 d=0.0163259 t=23402
ban tu 	斑圖	c=1 d=5.72962e-37 t=23402
ban xiao shi 	半小時	c=1 d=6.50045e-22 t=23402
ban yan 	扮演	c=1 d=0.00113627 t=23300
ban yong 	搬用	c=0 d=0.00342181 t=23402
ban you 	伴有	c=1 d=0.348192 t=23300
ban zheng 	辦證	c=2 d=0.00145564 t=23402
bang 	幫	c=9 d=0.0308074 t=23402
bang 	棒	c=1 d=5.45035e-08 t=23402
bang 	磅	c=1 d=2.76933e-13 t=23402
bang 	綁	c=1 d=3.97883e-41 t=23402
bang 	邦	c=1 d=1.07972e-20 t=23402
bang bang 	幫幫	c=0 d=0.00328764 t=23300
bang bang bang 	幫幫幫	c=1 d=0.0330412 t=23300
bang bing 	棒冰	c=2 d=1.62276e-40 t=23402
bang dao 	幫到	c=1 d=3.58175e-10 t=23300
bang ding 	綁定	c=8 d=0.000212834 t=23402
bang mang 	幫忙	c=9 d=0.946542 t=23402
bang ni 	幫你	c=1 d=1.4291e-24 t=23402
bang qiu 	棒球	c=1 d=1.60878e-35 t=23402
bang shang 	幫上	c=1 d=9.49712e-41 t=23402
bang wang 	幫忘	c=1 d=0.00663763 t=23402
bang wo 	幫我	c=4 d=0.0018363 t=23402
bang zhu 	幫助	c=4 d=0.945485 t=23402
bao 	保	c=2 d=0.00229955 t=23402
bao 	包	c=22 d=3.01175 t=23402
bao 	報	c=1 d=0.0170774 t=23402
bao 	寶	c=1 d=3.33041e-07 t=23300
bao 	爆	c=1 d=2.03815e-24 t=23402
bao 	胞	c=0 d=1.52694e-10 t=23300
bao 	飽	c=2 d=6.03486e-30 t=23402
bao bao 	寶寶	c=1 d=0.185444 t=23300
bao bei 	寶貝	c=1 d=0.2334 t=23402
bao chi 	保持	c=4 d=0.0992613 t=23402
bao cun 	保存	c=5 d=0.882497 t=23402
bao cuo 	報錯	c=2 d=7.56679e-07 t=23300
bao dan 	保單	c=1 d=0.00173804 t=23402
bao dao 	報道	c=2 d=0.666977 t=23402
bao gao 	報告	c=24 d=3.89174 t=23402
bao gui 	寶貴	c=1 d=3.28139e-09 t=23402
bao guo 	包裹	c=1 d=1.37259e-20 t=23402
bao han 	包含	c=3 d=3.64467e-09 t=23402
bao he 	寶盒	c=1 d=7.39786e-14 t=23402
bao hu 	保護	c=2 d=0.000854495 t=23402
bao jia 	報價	c=5 d=0.812884 t=23402
bao jiang 	褒獎	c=1 d=4.59749e-06 t=23300
bao kou 	暴扣	c=1 d=0.408608 t=23402
bao kuo 	包括	c=30 d=2.76055 t=23402
