# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
a 	阿	c=6 d=1.32797 t=53366
a fu jia de luo 	阿伏伽德羅	c=1 d=2.65018e-25 t=53366
a ha ha 	啊哈哈	c=1 d=4.7783e-48 t=53366
a jiu 	阿舅	c=3 d=0.0396791 t=53366
a li 	阿里	c=14 d=0.256661 t=53366
a li ba ba 	阿里巴巴	c=1 d=0.254107 t=53366
a li yun 	阿里雲	c=4 d=8.50643e-08 t=53366
a mi 	阿彌	c=0 d=0.1 t=42724
a mi tuo fo 	阿彌拖佛	c=1 d=1 t=42725
a pa qi 	阿帕奇	c=1 d=2.54142e-32 t=53366
a ti la 	阿提拉	c=1 d=2.59673e-50 t=53366
ai 	哎	c=2 d=1 t=49667
ai 	唉	c=1 d=1.02832e-05 t=53366
ai 	愛	c=3 d=8.88281e-13 t=53366
ai 	艾	c=1 d=2.67955e-37 t=53366
ai er 	埃爾	c=1 d=0.085435 t=53366
ai guo 	愛國	c=1 d=0.000833397 t=53366
ai hao 	愛好	c=1 d=0.125556 t=53366
ai kan 	愛看	c=1 d=1 t=24519
ai mei 	曖昧	c=1 d=1 t=33920
ai qi yi 	愛奇異	c=1 d=4.7611e-35 t=53366
ai qing 	愛情	c=3 d=1.02319e-05 t=53366
ai quan 	愛犬	c=1 d=1 t=49128
ai shang 	愛上	c=1 d=6.67886e-17 t=53366
ai yin si tan 	愛因斯坦	c=2 d=1.12425e-46 t=53366
ai zhe teng 	愛折騰	c=1 d=7.97268e-12 t=53366
an 	安	c=5 d=0.58577 t=53366
an 	按	c=22 d=0.211532 t=53366
an bu 	岸部	c=2 d=0.0473897 t=53366
an bu jiu ban 	按步就班	c=1 d=6.8256e-08 t=53366
an de 	安德	c=0 d=0.0159614 t=53366
an de ma 	安德瑪	c=1 d=0.160414 t=53366
an fang 	安防	c=5 d=5.81122e-07 t=53366
an jian 	案件	c=2 d=1.45827e-34 t=53366
an jing 	安靜	c=2 d=0.00629761 t=53366
an li 	安利	c=2 d=4.14991e-25 t=53366
an li 	案例	c=15 d=0.895834 t=53366
an li yan jiu 	案例研究	c=1 d=1 t=3176
an niu 	按鈕	c=4 d=8.44642e-07 t=53366
an pai 	安排	c=33 d=0.83527 t=53366
an qi 	按揭	c=1 d=1 t=26633
an qi 	按期	c=2 d=1.00007 t=28550
an quan 	安全	c=29 d=0.426716 t=53366
an quan neng li 	安全能力	c=1 d=1 t=4572
an quan xing 	安全性	c=5 d=1 t=49621
an shi 	按時	c=2 d=1 t=27736
an shi 	暗示	c=2 d=0.034562 t=53366
an teng bai fu 	安藤百福	c=2 d=4.23581e-05 t=53366
an xia 	按下	c=1 d=8.19009e-05 t=53366
an xin 	安心	c=1 d=1 t=45791
an xu 	按需	c=64 d=0.272532 t=53366
an xu shi yong 	按需使用	c=2 d=0.0215624 t=53366
an zhao 	按照	c=21 d=0.891366 t=53366
an zhi 	安置	c=1 d=1 t=3005
an zhuang 	安裝	c=17 d=2.09703 t=53366
an zhuo 	安卓	c=11 d=1.74283 t=53366
ang 	昂	c=1 d=0.100761 t=53366
ao 	凹	c=2 d=0.000430743 t=53366
ao 	嗷	c=1 d=1 t=16425
ao 	奧	c=2 d=1 t=30511
ao 	敖	c=19 d=1.00057 t=49461
ao 	澳	c=1 d=1 t=46028
ao cao 	凹槽	c=1 d=1 t=53342
ao da li ya 	澳大利亞	c=2 d=4.57534e-08 t=53366
ao jiao 	傲嬌	c=1 d=0.0572688 t=53366
ao men 	澳門	c=2 d=0.000401622 t=53366
ao ye 	熬夜	c=1 d=1 t=19540
ao yong 	敖勇	c=1 d=1 t=3523
ao yun 	奧運	c=1 d=3.03478e-31 t=53366
ao yun hui 	奧運會	c=2 d=3.00458e-31 t=53366
ao zhou 	澳洲	c=1 d=7.0685e-37 t=53366
ba 	八	c=3 d=1.72069e-32 t=53366
ba 	吧	c=77 d=1.41144 t=53366
ba 	巴	c=2 d=1.99501 t=33885
ba 	扒	c=1 d=1.40974e-40 t=53366
ba 	把	c=56 d=2.76735 t=53366
ba 	拔	c=1 d=1.03344e-34 t=53366
ba 	霸	c=3 d=1.05613 t=11249
ba ba 	巴巴	c=5 d=1.00004 t=38904
ba ba 	爸爸	c=1 d=6.46562e-47 t=53366
ba ba la 	芭芭拉	c=4 d=1.50894e-15 t=53366
ba bu 	八部	c=1 d=0.199888 t=53366
ba guan 	把關	c=1 d=1 t=53181
ba li 	巴黎	c=2 d=0.86776 t=53366
ba li dao 	巴厘島	c=1 d=0.00843808 t=53366
ba li man ha dun 	巴黎曼哈頓	c=1 d=0.0143357 t=53366
ba ma 	爸媽	c=1 d=1 t=46480
ba mei 	把妹	c=1 d=5.32954e-09 t=53366
ba na ma 	巴拿馬	c=4 d=1.70124 t=53366
ba qi 	霸氣	c=1 d=0.516851 t=53366
ba qi dian 	把起點	c=1 d=0.514274 t=53366
ba shou 	把手	c=1 d=0.11475 t=53366
ba ta 	把它	c=4 d=0.505123 t=53366
ba wang 	霸王	c=0 d=0.1 t=43722
ba wang se 	霸王色	c=1 d=1 t=43723
ba wo 	把握	c=2 d=0.0845849 t=53366
ba ya 	拔牙	c=2 d=6.03541e-28 t=53366
ba yue 	八月	c=7 d=3.5696e-05 t=53366
bai 	敗	c=1 d=1 t=19064
bai 	白	c=15 d=0.00481991 t=53366
bai 	百	c=1 d=4.34096e-07 t=53366
bai ban 	白板	c=2 d=0.537944 t=53366
bai bian 	白邊	c=1 d=1 t=31265
bai bian 	百變	c=1 d=1.80203e-46 t=53366
bai chi deng 	白熾燈	c=4 d=2.17873e-10 t=53366
bai du 	百度	c=7 d=0.666977 t=53366
bai du xue shu 	百度學術	c=1 d=0.0177743 t=53366
bai du yun 	百度雲	c=1 d=2.95431e-09 t=53366
bai fa 	白髮	c=1 d=7.12376e-11 t=53366
bai fang 	拜訪	c=1 d=5.25825e-27 t=53366
bai gong 	白宮	c=1 d=0.131336 t=53366
bai hang 	白行	c=0 d=3.04532e-14 t=53366
bai jie 	白潔	c=4 d=1.85345 t=52343
bai jiu 	白酒	c=1 d=1.95284e-21 t=53366
bai ju yi 	白居易	c=1 d=0.843665 t=53366
bai kai shui 	白開水	c=1 d=0.017953 t=53366
