# Rime user dictionary
#@/db_name	luna_pinyin.userdb.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	118
#@/user_id	sky_win
ba 	吧	c=2 d=1.41144 t=118
bao dao 	報道	c=1 d=0.666977 t=118
bei 	被	c=1 d=0.895834 t=118
bian hua 	變化	c=1 d=0.582748 t=118
ce shi 	測試	c=1 d=0.882497 t=118
chang du 	長度	c=1 d=0.615697 t=118
chi 	吃	c=0 d=0.0831104 t=118
chi yi ci 	吃一次	c=1 d=0.83527 t=118
chu 	出	c=2 d=1.79818 t=118
cong 	從	c=1 d=0.600496 t=118
da xiao 	大小	c=1 d=0.631284 t=118
dao 	到	c=6 d=3.88126 t=118
de 	的	c=4 d=2.81507 t=118
dian 	點	c=1 d=0.860708 t=118
dong xi 	東西	c=1 d=0.865022 t=118
dou 	都	c=1 d=0.965605 t=118
dou shi 	都是	c=1 d=0.637628 t=118
dui 	對	c=2 d=1.57522 t=118
duo fo er 	多佛爾	c=0 d=0.0960789 t=118
en 	恩	c=1 d=0.722527 t=118
er qi 	二期	c=1 d=0.71177 t=118
fan ye 	翻頁	c=2 d=1.99501 t=118
fang 	方	c=0 d=0.0763379 t=118
fang fa 	方法	c=1 d=0.852144 t=118
fang lao shi 	方老師	c=1 d=0.767206 t=118
gan dao 	感到	c=1 d=0.873716 t=118
gan jue 	感覺	c=2 d=1.83409 t=118
ge 	個	c=1 d=0.810584 t=118
gu ji 	估計	c=1 d=0.680451 t=118
guan jian 	關鍵	c=1 d=0.83527 t=118
guo jia 	國家	c=1 d=0.786628 t=118
hai 	還	c=1 d=0.970446 t=118
hai mei 	還沒	c=1 d=0.66034 t=118
hai shi 	還是	c=1 d=0.839457 t=118
hao 	好	c=1 d=0.650509 t=118
hen 	很	c=2 d=1.83258 t=118
hen duo 	很多	c=1 d=0.960789 t=118
hou 	後	c=1 d=0.677057 t=118
hui you 	會有	c=1 d=0.57695 t=118
ji jin 	基金	c=1 d=0.794534 t=118
jin nian 	今年	c=1 d=0.763379 t=118
